Nome,Diretor,Nota,Gênero
Warfare,Alex Garland,3.4,"Ação,Drama,Guerra"
Extremely Loud and Incredibly Close,Stephen Daldry,4.0,"Aventura,Drama,Mistério"
The Matrix,Lana Wachowski,4.3,"Ação,Aventura,Ficção Científica "
Britain And The Blitz,Ella Wright,3.4,"Documentário,Guerra"
Law Abiding Citizen,F. Gary Gray,4.0,"Drama,Policial,Thriller"
The Town,Ben Affleck,3.6,"Drama,Policial,Thriller"
Conspiracy,Frank Pierson,3.7,"Biografia,Drama,Guerra,História"
The Girl with the Dragon Tattoo,David Fincher,4.2,"Drama,Mistério,Suspense"
Homem com H,Esmir Filho,4.4,"Biografia,Drama,Música,Nacional"
Sinners,Ryan Coogler,4.2,"Ação,Drama,Terror,Thriller"
Gridiron Gang,Phil Joanou,3.7,"Biografia,Drama,Esporte,Policial"
Miss Evers' Boys,Joseph Sargent,3.7,"Drama,Guerra"
Wartorn: 1861-2010,Ellen Goosenberg Kent,4.3,"Documentário,Guerra"
Elijo Creer,Martín Méndez,4.0,Documentário
The Doors,Oliver Stone,4.0,"Biografia,Drama,Música"
"LaRoy, Texas",Shane Atkinson,3.2,"Comédia,Thriller"
Breakdown,Jonathan Mostow,3.4,"Mistério,Policial,Thriller"
Black Bag,Steven Soderbergh,3.2,"Drama,Romance,Thriller"
Mickey 17,Bong Joon-ho,3.4,"Aventura,Comédia,Fantasia,Ficção Científica "
Something the Lord Made,Joseph Sargent,4.2,"Biografia,Drama"
Terra Estrangeira,Daniela Thomas,4.1,"Drama,Nacional,Policial"
L'Argent,Robert Bresson,3.8,Drama
A Real Pain,Jesse Eisenberg,3.5,"Comédia,Drama"
A Complete Unknown,James Mangold,3.5,"Biografia,Drama,Música"
Unleashed,Louis Leterrier,3.6,"Ação,Drama,Policial,Suspense"
Olga,Jayme Monjardim,3.8,"Biografia,Drama,Guerra,Nacional"
Nr. 24,John Andreas Andersen,3.7,"Biografia,Drama,Guerra"
Isabella: O Caso Nardoni,Cláudio Manoel,3.1,"Documentário,Nacional"
Pigen med nålen,Magnus von Horn,4.0,"Drama,História,Policial"
Anora,Sean Baker (II),3.5,"Comédia,Drama,Romance"
Le Dernier Métro,François Truffaut,3.8,"Drama,Guerra,Romance"
Clockers,Spike Lee,3.6,"Drama,Mistério,Policial"
El Jockey,Luis Ortega,3.2,"Drama,Esporte"
Conclave,Edward Berger,3.9,"Drama,Suspense"
Le Doulos,Jean-Pierre Melville,4.0,"Policial,Thriller"
Cross of Iron,Sam Peckinpah,4.0,"Guerra,História"
The Wind That Shakes the Barley,Ken Loach,3.9,"Drama,Guerra"
Nosferatu,Robert Eggers,3.6,"Fantasia,Mistério,Terror"
28 Days Later,Danny Boyle,3.7,"Drama,Ficção Científica ,Terror,Thriller"
Carry-On,Jaume Collet-Serra,3.2,"Ação,Thriller"
PTU,Johnnie To,3.9,Policial
The Six Triple Eight,Tyler Perry,3.7,"Drama,Guerra"
Deep Cover,Bill Duke,3.8,"Ação,Policial,Thriller"
Juror #2,Clint Eastwood,3.6,"Drama,Thriller"
Hush,Jonathan Darby,3.0,"Drama,Suspense"
Joy,Ben Taylor (XXXVIII),3.7,"Biografia,Drama,História"
Winter's Bone,Debra Granik,3.5,"Drama,Mistério,Suspense"
Misery,Rob Reiner,4.1,"Drama,Suspense"
Gladiator II,Ridley Scott,3.3,"Ação,Aventura,Drama"
White Boy Rick,Yann Demange,3.4,"Drama,Policial"
Ainda Estou Aqui,Walter Salles,4.5,"Biografia,Drama,História,Nacional"
Yara,Marco Tullio Giordana,3.3,"Drama,Policial"
The Funeral,Abel Ferrara,3.7,"Drama,Policial"
The Apprentice,Ali Abbasi,3.5,"Biografia,Drama,História"
Woman of the Hour,Anna Kendrick (I),3.1,"Drama,Policial,Thriller"
Holocausto Brasileiro,Armando Mendz,4.3,"Documentário,Nacional"
São Paulo Sociedade Anônima,Luís Sérgio Person,4.2,"Drama,Nacional"
Lee,Ellen Kuras,3.5,"Biografia,Drama,Guerra,História"
Strange Darling,JT Mollner,3.5,"Policial,Terror,Thriller"
Bad Day at Black Rock,John Sturges,3.9,"Drama,Mistério,Policial"
Touch of Evil,Orson Welles,4.1,"Film-Noir,Policial,Suspense"
Blink Twice,Zoë Kravitz,3.5,"Mistério,Suspense"
弟弟,Sean Wang (III),3.7,"Comédia,Drama"
Last Train From Gun Hill,John Sturges,4.0,"Faroeste,Romance"
Retfærdighedens Ryttere,Anders Thomas Jensen,3.7,"Ação,Comédia,Drama,Thriller"
Sisu,Jalmari Helander,3.5,"Ação,Guerra"
Sinsegye,Park Hoon-jung,4.0,"Ação,Drama,Policial,Thriller"
Joker: Folie à Deux,Todd Phillips (I),2.6,"Drama,Musical,Policial,Super-herói,Thriller"
Inside Out 2,Kelsey Mann,4.0,"Animação,Aventura,Família"
모가디슈,Seung-wan Ryoo,3.8,"Ação,Drama"
Au Revoir Les Enfants,Louis Malle,4.2,"Biografia,Drama,Guerra"
Night and The City,Jules Dassin,4.2,"Film-Noir,Mistério,Policial"
Du Rififi Chez les Hommes,Jules Dassin,4.3,"Drama,Policial,Thriller"
Longlegs,Osgood Perkins (II),3.3,"Policial,Terror,Thriller"
Flammen & Citronen,Ole Christian Madsen,4.0,"Drama,História,Thriller"
Beetlejuice Beetlejuice,Tim Burton,3.5,"Comédia,Fantasia"
Monsieur Klein,Joseph Losey,4.0,"Drama,Guerra,Mistério,Thriller"
Das Lehrerzimmer,Ilker Çatak,3.8,Drama
The Old Oak,Ken Loach,3.7,Drama
Le cercle rouge,Jean-Pierre Melville,4.1,"Drama,Policial,Thriller"
Patton,Franklin J. Schaffner,3.9,"Biografia,Drama,Guerra"
MaXXXine,Ti West,3.1,"Policial,Terror"
Nobi,Kon Ichikawa,4.3,"Drama,Guerra"
Blue Valentine,Derek Cianfrance,3.6,"Drama,Romance"
파묘,Jae-hyun Jang,3.5,"Drama,Mistério,Terror,Thriller"
20 Days in Mariupol,Mstyslav Chernov,3.9,"Documentário,Guerra"
What You Wish For,Nicholas Tomnay,3.5,"Terror,Thriller"
A Quiet Place: Day One,Michael Sarnoski,3.3,"Drama,Ficção Científica ,Terror"
The Bikeriders,Jeff Nichols (VI),3.1,"Drama,Policial"
Cuando Acecha la Maldad,Demián Rugna,3.5,Terror
Cruising,William Friedkin,3.5,"Drama,Policial,Thriller"
Operation Finale,Chris Weitz,3.6,"Biografia,Drama,Guerra,História,Thriller"
Twister,Jan de Bont,3.2,"Ação,Aventura,Drama,Thriller"
L'Armée des Ombres,Jean-Pierre Melville,4.2,"Drama,Guerra,Thriller"
Monkey Man,Dev Patel,3.6,"Ação,Drama,Thriller"
La Battaglia di Algeri,Gillo Pontecorvo,4.3,"Drama,Guerra,História"
Fuga,Pablo Larraín,3.6,Drama
Le Samouraï,Jean-Pierre Melville,4.2,"Drama,Thriller"
Furiosa: A Mad Max Saga,George Miller (II),3.7,"Ação,Aventura,Ficção Científica ,Suspense"
Novecento,Bernardo Bertolucci,4.3,"Drama,Guerra,História,Romance"
The Ministry of Ungentlemanly Warfare,Guy Ritchie,3.3,"Ação,Guerra"
The Last Stop in Yuma County,Francis Galluppi,3.5,"Policial,Suspense"
Vyzov,Klim Shipenko (I),3.9,"Aventura,Drama,Ficção Científica "
C.R.A.Z.Y.,Jean-Marc Vallée,4.2,"Comédia,Drama"
La Grande Vadrouille,Gérard Oury,4.0,Comédia
Mothers’ Instinct,Benoît Delhomme,3.4,"Drama,Thriller"
Love Lies Bleeding,Rose Glass (I),3.5,"Ação,Policial,Romance,Thriller"
Challengers,Luca Guadagnino,3.6,"Drama,Esporte,Romance"
Insyriated,Philippe Van Leeuw,3.9,"Drama,Guerra"
Civil War,Alex Garland,3.5,"Ação,Guerra,Thriller"
The Emperor of the North,Robert Aldrich,4.0,"Ação,Aventura,Drama"
All of Us Strangers,Andrew Haigh,3.8,"Drama,Fantasia,Romance"
Los Colonos,Felipe Gálvez,3.8,"Drama,História,Policial"
One Life,James Hawes (I),4.0,"Biografia,Drama,História"
Ji jie hao ,Xiaogang Feng,3.5,"Ação,Biografia,Drama"
Devotion,J.D. Dillard,3.3,"Ação,Biografia,Drama,Guerra"
Dune: Part Two,Denis Villeneuve,4.2,"Ação,Aventura,Drama,Ficção Científica "
КАЛАШНИКОВ,Konstantin Buslov,3.3,"Ação,Drama,Guerra"
Ferrari,Michael Mann,3.3,"Biografia,Drama"
Indiana Jones and the Dial of Destiny,James Mangold,3.2,"Ação,Aventura,Ficção Científica "
200 Meters,Ameen Nayfeh,3.8,Drama
La Mala Ordina,Fernando Di Leo,3.9,"Ação,Drama,Policial"
Rotting in the Sun,Sebastián Silva (III),3.5,"Comédia,Drama,Mistério"
The Burial,Maggie Betts,3.7,Drama
Poor Things,Yorgos Lanthimos,4.1,"Comédia,Drama,Ficção Científica ,Romance"
Io Capitano,Matteo Garrone,4.0,"Aventura,Drama"
The Iron Claw,Sean Durkin,3.9,"Biografia,Drama,Esporte"
Mission: Impossible - Dead Reckoning Part One,Christopher McQuarrie,3.9,"Ação,Aventura,Suspense"
Persian Lessons,Vadim Perelman,3.9,"Drama,Guerra"
怪物,Hirokazu Koreeda,4.2,Drama
To Live and Die in L.A.,William Friedkin,3.8,"Ação,Policial,Thriller"
The Color Purple,Blitz Bazawule,3.5,"Drama,Musical"
The Boys in the Boat,George Clooney,3.5,"Biografia,Drama,Esporte"
콘크리트 유토피아,Uhm Tae-Hwa,3.2,"Drama,Ficção Científica ,Thriller"
Kuolleet Lehdet,Aki Kaurismäki,3.8,"Drama,Romance"
La Sociedad de la Nieve,J. A. Bayona,4.2,"Aventura,Biografia,Drama,História,Thriller"
The Zone of Interest,Jonathan Glazer,3.6,"Drama,Guerra,História"
The Holdovers,Alexander Payne,4.0,"Comédia,Drama"
NYAD,Elizabeth Chai Vasarhelyi,3.7,"Biografia,Drama,Esporte"
The Devil All the Time,Antônio Campos (I),3.8,"Drama,Thriller"
Anatomie d'une Chute,Justine Triet,4.0,"Drama,Mistério,Thriller"
Bastarden,Nikolaj Arcel,4.0,"Drama,Faroeste,História"
Silent Night,John Woo (I),2.7,"Ação,Thriller"
How to Have Sex,Molly Manning Walker,3.5,Drama
Deepwater Horizon,Peter Berg (I),3.5,"Ação,Drama,História"
Berdreymi,Guðmundur Arnar Guðmundsson,3.9,Drama
Les Traducteurs,Régis Roinsard,3.5,"Mistério,Thriller"
Maestro,Bradley Cooper,3.1,"Biografia,Drama,Música"
O Sequestro do Voo 375,Marcus Baldini,3.8,"Ação,Drama,História,Nacional,Thriller"
The Great Debaters,Denzel Washington,4.1,"Biografia,Drama"
Mal de Pierres,Nicole Garcia (I),3.6,"Drama,Romance"
Napoleon,Ridley Scott,3.1,"Ação,Biografia,Drama,Guerra,História"
Tyrannosaur,Paddy Considine,4.0,Drama
"Lepa Sela, Lepo Gore",Srdjan Dragojevic,4.2,"Drama,Guerra,História"
Out of Rosenheim,Percy Adlon,4.0,"Comédia,Drama"
When Saturday Comes,Maria Giese,3.2,"Drama,Esporte"
Martyrs,Pascal Laugier,3.9,"Drama,Suspense,Terror"
The Railway Man,Jonathan Teplitzky,3.6,"Biografia,Drama,Guerra,Romance"
Tomboy,Céline Sciamma,4.2,Drama
Killers of the Flower Moon,Martin Scorsese,4.1,"Drama,História,Policial"
A-i-deul...,Kyoo-man Lee,3.9,"Policial,Thriller"
Nacido en Gaza,Hernán Zin,4.4,Documentário
The Killer,David Fincher,3.3,"Ação,Drama,Policial,Thriller"
Thief,Michael Mann,3.9,"Ação,Drama,Policial,Thriller"
Ničija Zemlja,Danis Tanovic,4.0,"Drama,Guerra"
Lorenzo's Oil,George Miller (II),4.1,Drama
The Last Days,James Moll,4.4,"Documentário,Drama"
Victoria,Sebastian Schipper,3.8,"Drama,Policial,Thriller"
La Rafle,Rose Bosch,4.2,"Drama,Guerra,História"
Battle for Haditha,Nick Broomfield,3.7,"Drama,Guerra,História"
The Cure,Peter Horton,4.1,Drama
The Match,Dominik Sedlar,3.6,"Drama,Esporte,Guerra,História"
The French Connection,William Friedkin,3.9,"Ação,Policial,Thriller"
Lakposhtha Parvaz Mikonand,Bahman Ghobadi,4.4,"Drama,Guerra"
Past Lives,Celine Song,4.2,"Drama,Romance"
The Children of Huang Shi,Roger Spottiswoode,4.0,"Drama,Guerra"
The Three Burials of Melquiades Estrada,Tommy Lee Jones,3.7,"Aventura,Faroeste"
The Right Stuff,Philip Kaufman,3.8,Drama
No Hard Feelings,Gene Stupnitsky,3.3,Comédia
Oppenheimer,Christopher Nolan,4.0,"Biografia,Drama,Guerra,História"
The Swimmers,Sally El Hosaini,3.9,"Biografia,Drama,Esporte"
El Camino: A Breaking Bad Movie,Vince Gilligan,3.7,"Ação,Drama,Thriller"
After Hours,Martin Scorsese,4.0,"Comédia,Drama,Policial,Suspense"
Anonyma - Eine Frau in Berlin,Max Färberböck,3.7,"Drama,Guerra,História"
BlackBerry,Matt Johnson (LXXVII),3.5,"Biografia,Drama"
Turning Red,Domee Shi,3.9,"Animação,Aventura,Comédia,Família,Fantasia"
Air,Ben Affleck,3.6,Drama
Barbie,Greta Gerwig,3.8,"Aventura,Comédia,Fantasia"
Kurak Günler,Emin Alper,4.0,"Drama,Thriller"
Elephant,Gus Van Sant,3.6,"Drama,Experimental,Policial,Thriller"
In the Name of the Father,Jim Sheridan (I),4.2,"Biografia,Drama"
My Left Foot: The Story of Christy Brown,Jim Sheridan (I),4.2,"Biografia,Drama"
The Covenant,Guy Ritchie,3.9,"Ação,Drama,Guerra,Thriller"
Midnight Express,Alan Parker,4.1,"Biografia,Drama,Policial"
Capote,Bennett Miller,3.8,"Biografia,Drama,Policial"
Scream 2,Wes Craven,3.2,"Mistério,Terror"
John Wick: Chapter 4,Chad Stahelski,3.9,"Ação,Policial,Thriller"
Tora! Tora! Tora!,Kinji Fukasaku,3.8,"Ação,Guerra"
عنکبوت مقدس,Ali Abbasi,4.0,"Drama,Policial,Thriller"
Tetris,Jon S. Baird,3.8,"Biografia,Drama,História"
Creed III,Michael B. Jordan,3.4,"Drama,Esporte"
Close,Lukas Dhont,4.2,Drama
Unrelated,Joanna Hogg,3.2,Drama
The Fabelmans,Steven Spielberg,4.0,Drama
혼자 사는 사람들,Hong Sung-Eun,3.9,Drama
The Whale,Darren Aronofsky,4.0,Drama
Charlie's Country,Rolf de Heer,4.0,"Biografia,Drama"
De Helaasheid Der Dingen,Felix van Groeningen,3.8,Drama
We Own the Night,James Gray,3.5,"Drama,Policial,Thriller"
Tusen Ganger God Natt,Erik Poppe,4.0,"Drama,Guerra"
Pride,Matthew Warchus,4.3,"Biografia,Comédia,Drama"
Zamani Barayé Masti Asbha,Bahman Ghobadi,4.1,"Drama,Guerra"
J'accuse,Roman Polanski,3.7,"Drama,História,Thriller"
Dip Huet Gai Tau,John Woo (I),4.0,Ação
A Perfect World,Clint Eastwood,4.0,"Drama,Policial,Thriller"
Turist,Ruben Östlund,3.6,"Comédia,Drama"
خانه‌ی دوست کجاست؟,Abbas Kiarostami,4.2,"Drama,Família"
The Menu,Mark Mylod,3.6,"Comédia,Suspense,Terror"
Marte Um,Gabriel Martins,4.1,"Drama,Nacional"
Armageddon Time,James Gray,3.3,Drama
Megan Leavey,Gabriela Cowperthwaite,3.6,"Biografia,Drama,Guerra"
Film Kteer Kbeer,Mir-Jean Bou Chaaya,3.6,"Ação,Comédia"
He Got Game,Spike Lee,3.4,"Drama,Esporte,Romance"
Il Conformista,Bernardo Bertolucci,4.1,"Drama,Thriller"
Do the Right Thing,Spike Lee,4.2,"Comédia,Drama"
The Pirates of Somalia,Bryan Buckley,3.5,"Biografia,Drama"
You Don't Know Jack,Barry Levinson,4.1,"Biografia,Drama"
Contact,Robert Zemeckis,4.1,"Drama,Ficção Científica ,Mistério"
L'insulte,Ziad Doueiri,4.1,Drama
À Nos Amours,Maurice Pialat,3.7,Drama
Hwanghae,Hong-jin Na,3.8,"Drama,Policial,Thriller"
Goodbye Bafana,Bille August,3.8,"Biografia,Drama,História"
When Trumpets Fade,John Irvin,3.6,"Ação,Drama,Guerra"
The Killing Fields,Roland Joffé,4.0,"Drama,Guerra,História"
Dragged Across Concrete,S. Craig Zahler,3.6,"Ação,Drama,Policial,Thriller"
Große Freiheit,Sebastian Meise,4.0,Drama
The Whistleblower,Larysa Kondracki,3.8,Drama
Funny Games,Michael Haneke,3.8,"Drama,Policial,Suspense,Terror"
Emancipation,Antoine Fuqua,3.8,"Ação,Drama,Thriller"
Tár,Todd Field,3.7,"Drama,Música"
Tuntematon sotilas,Aku Louhimies,3.9,"Drama,Guerra"
Escape from Sobibor,Jack Gold,4.1,"Drama,Guerra,História,Thriller"
U-571,Jonathan Mostow,3.4,"Ação,Drama,Guerra"
Windtalkers,John Woo (I),3.4,"Ação,Guerra"
In Darkness,Agnieszka Holland,3.9,"Drama,Guerra"
The Tuskegee Airmen,Robert Markowitz,3.6,"Drama,Guerra,História"
Passchendaele,Paul Gross,3.5,"Drama,Guerra,História,Romance"
The Express,Gary Fleder,4.0,"Biografia,Drama,Esporte"
My Policeman,Michael Grandage,3.4,"Drama,Romance"
Jakob the Liar,Peter Kassovitz,3.8,"Drama,Guerra"
Barbarian,Zach Cregger,3.4,"Suspense,Terror"
Nitram,Justin Kurzel,3.8,"Drama,Thriller"
"Argentina, 1985",Santiago Mitre,4.3,"Biografia,Drama,História"
Fall,Scott Mann,3.2,Thriller
El Robo del Siglo,Ariel Winograd,3.7,"Comédia,Policial"
Molly's Game,Aaron Sorkin,3.7,"Biografia,Drama"
Everything Everywhere All at Once,Daniel Kwan,4.0,"Ação,Aventura,Comédia,Fantasia,Ficção Científica "
La Haine,Mathieu Kassovitz,4.2,"Drama,Policial"
The Greatest Beer Run Ever,Peter Farrelly,3.4,"Aventura,Comédia,Drama,Guerra"
Weird: The Al Yankovic Story,Eric Appel,3.4,"Biografia,Comédia,Musical"
Pearl,Ti West,3.9,"Drama,Suspense,Terror"
Im Westen Nichts Neues,Edward Berger,4.0,"Ação,Drama,Guerra"
The Sea Beast,Chris Williams (IX),3.7,"Animação,Aventura,Família"
Ba xian fan dian zhi ren rou cha shao bao,Herman Yau,3.7,"Comédia,Policial,Terror"
Die Wannseekonferenz,Matti Geschonneck,3.5,"Drama,Guerra,História"
Don't Worry Darling,Olivia Wilde,3.3,"Drama,Mistério,Suspense"
Athena,Romain Gavras,3.7,"Ação,Drama,Suspense"
The Normal Heart,Ryan Murphy (I),4.3,"Biografia,Drama,História"
Liar Liar,Tom Shadyac,3.5,Comédia
Beats,Brian Welsh (IV),3.6,"Comédia,Drama,Música,Policial"
Bodies Bodies Bodies,Halina Reijn,3.1,"Comédia,Suspense,Terror"
Kubo and the Two Strings,Travis Knight (II),4.2,"Animação,Aventura,Família"
Blonde,Andrew Dominik,2.6,"Biografia,Drama"
Bullet Train,David Leitch (I),3.6,"Ação,Comédia,Thriller"
Speak No Evil,Christian Tafdrup,3.6,"Drama,Terror,Thriller"
Fever Pitch,David M. Evans,3.4,"Comédia,Esporte,Romance"
Vengeance,B. J. Novak,3.4,"Comédia,Mistério,Thriller"
Mok-gyeok-ja,Jo Kyoo-Jang,3.5,Thriller
Top Gun: Maverick,Joseph Kosinski,4.1,"Ação,Drama"
Good Bye Lenin!,Wolfgang Becker (II),4.2,"Comédia,Drama,Romance"
Thirteen Lives,Ron Howard,4.0,"Biografia,Drama,Suspense"
Wolyn,Wojciech Smarzowski,3.8,"Drama,Guerra,Romance"
Elvis,Baz Luhrmann,3.8,"Biografia,Drama,Música"
"Onoda, 10 000 nuits dans la jungle",Arthur Harari,3.9,Drama
Escape from Pretoria,Francis Annan (II),3.6,"Ação,Biografia,Mistério,Policial,Thriller"
The Batman,Matt Reeves,4.0,"Ação,Drama,Policial,Super-herói,Thriller"
Offside,Jafar Panahi,4.1,"Drama,Esporte"
Sunshine,István Szabó (I),3.8,"Drama,Guerra,História"
Aala Kaf Ifrit,Kaouther Ben Hania,4.0,"Drama,Policial,Thriller"
The Train,John Frankenheimer,4.1,"Ação,Guerra,Thriller"
Aiamuahiro,Shinsuke Sato,3.5,"Ação,Drama,Suspense,Terror"
Ba Bai,Hu Guan,3.7,"Guerra,História"
The Stoning of Soraya M.,Cyrus Nowrasteh,4.3,Drama
Donbass,Sergei Loznitsa,3.4,"Drama,Guerra"
On the Count of Three,Jerrod Carmichael,3.6,"Comédia,Drama"
Cha Cha Real Smooth,Cooper Raiff,3.8,"Comédia,Drama"
Bang Bang You're dead,Guy Ferland,4.0,"Drama,Policial,Suspense"
Hwaryeohan Hyooga,Kim Ji-Hoon (I),4.1,"Drama,Guerra"
Dolores Claiborne,Taylor Hackford,4.0,"Drama,Mistério,Policial"
Just Mercy,Destin Daniel Cretton,4.2,Drama
Kursk,Thomas Vinterberg,3.3,"Drama,História"
Den 12. mann,Harald Zwart,4.0,"Drama,Guerra"
Crimson Tide,Tony Scott,3.5,"Ação,Drama,Guerra,Thriller"
John Rabe,Florian Gallenberger,3.8,Biografia
Candy,Neil Armfield,4.0,"Drama,Romance"
Hustle,Jeremiah Zagar,3.7,"Comédia,Drama,Esporte"
The Gentlemen,Guy Ritchie,3.8,"Ação,Policial"
X,Ti West,3.4,"Drama,Terror,Thriller"
G.I. Jane,Ridley Scott,3.7,"Ação,Drama,Guerra"
Jackass - Volume Two,Jeff Tremaine,3.8,"Ação,Comédia,Thriller"
The Outfit,Graham Moore,3.7,"Drama,Mistério,Policial,Thriller"
Jackass - Volume one,Jeff Tremaine,3.7,"Ação,Comédia,Thriller"
Fantastic Beasts and Where to Find Them,David Yates,4.0,"Aventura,Família,Fantasia"
The Northman,Robert Eggers,3.7,"Ação,Aventura,Drama,Fantasia,História,Thriller"
Wrath of Man,Guy Ritchie,3.6,"Ação,Thriller"
The Dirt,Jeff Tremaine,3.8,"Biografia,Drama,Musical"
Romper Stomper,Geoffrey Wright,3.4,"Ação,Drama"
Jackass Forever,Jeff Tremaine,3.4,Comédia
"Lock, Stock and Two Smoking Barrels",Guy Ritchie,4.2,"Ação,Comédia,Policial"
Spider-Man: Far From Home,Jon Watts (II),3.6,"Ação,Aventura,Comédia,Ficção Científica ,Super-herói"
CODA,Sian Heder,4.1,"Comédia,Drama,Família,Música"
Skyggen i mit øje,Ole Bornedal,3.8,"Drama,Guerra,História"
Nightmare Alley,Guillermo del Toro,3.5,"Drama,Policial,Thriller"
Spider-Man: Homecoming,Jon Watts (II),3.8,"Ação,Aventura,Ficção Científica ,Super-herói"
C'mon C'mon,Mike Mills (II),3.9,"Comédia,Drama"
Licorice Pizza,Paul Thomas Anderson,3.5,"Comédia,Drama,Romance"
Point Break,Kathryn Bigelow,3.7,"Ação,Policial,Thriller"
Days of Thunder,Tony Scott,3.1,"Ação,Drama,Esporte,Romance"
The Last Duel,Ridley Scott,3.9,"Ação,Drama,História"
Encanto,Byron Howard,3.8,"Animação,Família,Fantasia"
White Men Can't Jump,Ron Shelton,3.4,"Comédia,Drama,Esporte"
King Richard,Reinaldo Marcus Green,3.8,"Biografia,Drama,Esporte"
Armageddon,Michael Bay,3.5,"Ação,Aventura,Ficção Científica ,Suspense"
Con Air,Simon West (I),3.5,"Ação,Policial,Thriller"
Monster,Patty Jenkins,4.0,"Biografia,Drama,Policial"
United 93,Paul Greengrass,3.4,"Ação,Drama,História,Thriller"
Independence Day,Roland Emmerich,3.4,"Ação,Aventura,Ficção Científica "
Bicho de Sete Cabeças,Laís Bodanzky,4.0,"Drama,Nacional"
Ghostbusters,Ivan Reitman,3.7,"Ação,Comédia,Fantasia,Ficção Científica "
Mr. & Mrs. Smith,Doug Liman,3.4,"Ação,Comédia,Policial,Romance,Thriller"
Jason Bourne,Paul Greengrass,3.5,"Ação,Thriller"
22 July,Paul Greengrass,3.7,"Biografia,Drama,História,Policial,Suspense"
Sleepers,Barry Levinson,3.9,"Drama,Policial,Thriller"
Silmido,Kang Woo-Suk,3.8,"Ação,Guerra,História,Suspense"
O Lobo Atrás da Porta,Fernando Coimbra,4.0,"Drama,Nacional,Suspense"
A Knight's Tale,Brian Helgeland,3.7,"Ação,Aventura,Romance"
Memphis Belle,Michael Caton-Jones,3.7,"Ação,Drama,Guerra"
Quantum of Solace,Marc Forster,3.4,"Ação,Aventura,Thriller"
De Oost,Jim Taihuttu,3.3,"Drama,Guerra,Thriller"
Casino Royale,Martin Campbell (I),3.8,"Ação,Policial,Thriller"
"El patrón, radiografía de un crimen",Sebastián Schindel,3.9,"Drama,Policial"
The Power of the Dog,Jane Campion,3.7,"Drama,Faroeste,Mistério"
