Nome,Diretor,Nota,Gênero
Shooting Dogs,Michael Caton-Jones,4.1,"Drama,História"
T-34,Aleksey Sidorov (I),3.9,"Ação,Guerra"
Nanjing! Nanjing!,Lu Chuan (I),4.3,"Drama,Guerra,História"
Old Henry,Potsy Ponciroli,3.7,"Ação,Drama,Faroeste"
Glory,Edward Zwick,3.8,"Drama,Guerra,História"
기억의 밤,Jang Hang-Jun,3.8,"Drama,Mistério,Policial,Suspense"
100 metros,Marcel Barrena,4.2,"Biografia,Comédia,Drama"
Man on Fire,Tony Scott,3.9,"Ação,Drama,Policial,Suspense"
Hou Lai de Wo Men,Rene Liu,4.2,"Drama,Romance"
First They Killed My Father,Angelina Jolie,3.8,"Biografia,Drama,Guerra,História"
The Lost Battalion,Russell Mulcahy,3.7,"Drama,Guerra"
Les Femmes de L'ombre,Jean-Paul Salomé,3.9,"Drama,Guerra,História"
Spider-Man 3,Sam Raimi,3.1,"Ação,Aventura,Ficção Científica ,Super-herói"
Bølgen,Roar Uthaug,3.2,"Ação,Drama,Thriller"
Spider-Man 2,Sam Raimi,3.6,"Ação,Aventura,Ficção Científica ,Super-herói"
The Harder They Fall,Jeymes Samuel,3.6,"Ação,Drama,Faroeste"
Spider-Man,Sam Raimi,3.7,"Ação,Aventura,Ficção Científica ,Super-herói"
The Unforgivable,Nora Fingscheidt,3.6,"Drama,Mistério,Policial"
Bac Nord,Cédric Jimenez,3.5,"Ação,Drama,Policial,Thriller"
Machuca,Andrés Wood,4.3,"Biografia,Drama"
The Goonies,Richard Donner,4.1,"Aventura,Comédia,Família"
Papillon,Michael Noer,3.7,"Aventura,Biografia,Drama,Policial"
7 Prisioneiros,Alex Moratto,3.9,"Drama,Nacional"
Samba,Eric Toledano,3.8,"Comédia,Drama"
No Time to Die,Cary Fukunaga,3.6,Ação
De Slag om de Schelde,Matthijs van Heijningen Jr.,3.6,"Drama,Guerra"
Cry Macho,Clint Eastwood,3.0,Drama
A Call to Spy,Lydia Dean Pilcher,3.6,"Biografia,Drama,Guerra,Thriller"
Dune,Denis Villeneuve,3.8,"Ação,Aventura,Drama,Ficção Científica "
Alive,Frank Marshall,3.7,"Aventura,Biografia,Drama,Thriller"
Night Will Fall,André Singer,4.6,Documentário
Nothing But The Truth,Rod Lurie,3.7,"Drama,Suspense"
Dark Waters,Todd Haynes,3.9,"Biografia,Drama,História"
A Quiet Place Part II,John Krasinski,3.6,"Suspense,Terror"
Brestskaya Krepost,Alexander Kott,4.0,"Ação,Drama,Guerra,História"
Judas and the Black Messiah,Shaka King,4.1,"Biografia,Drama,História"
Il Divin Codino,Letizia Lamartire,3.2,Biografia
"Quo Vadis, Aida?",Jasmila Zbanic,4.2,"Drama,Guerra,História"
Resistance,Jonathan Jakubowicz,3.6,"Biografia,Drama,Guerra,História"
Pelé,Ben Nicholas,3.6,"Biografia,Documentário,Esporte"
Marshall,Reginald Hudlin,3.8,Drama
Promising Young Woman,Emerald Fennell,3.8,"Drama,Thriller"
Soul,Kemp Powers,4.3,"Animação,Aventura,Fantasia"
Mosul,Matthew Michael Carnahan,3.5,"Ação,Drama,Guerra"
Druk,Thomas Vinterberg,3.9,"Comédia,Drama"
Sound of Metal,Darius Marder,4.1,"Drama,Música"
The Day After Tomorrow,Roland Emmerich,3.2,"Ação,Aventura,Ficção Científica ,Suspense"
"Diego Maradona: Rebelde, héroe, estafador, Dios",Asif Kapadia,4.0,"Documentário,Esporte"
A Hidden Life,Terrence Malick,3.9,"Biografia,Drama,Guerra,Romance"
The Trial of the Chicago 7,Aaron Sorkin,4.0,"Drama,História,Thriller"
We Were Soldiers,Randall Wallace (I),3.5,"Ação,Drama,Guerra,História"
Halloween,John Carpenter (I),3.7,"Suspense,Terror"
Greyhound,Aaron Schneider,3.3,"Drama,Guerra,História"
Dokani,Hwang Dong-Hyuk,4.2,Drama
Australia,Baz Luhrmann,3.5,"Aventura,Drama,Faroeste,Guerra,Romance"
Brian Banks,Tom Shadyac,3.9,"Biografia,Drama"
We Are Marshall,McG,3.7,"Drama,Esporte"
Free State Of Jones,Gary Ross (I),3.7,"Ação,Biografia,Drama,Guerra,História"
The Rookie,John Lee Hancock,3.5,"Biografia,Drama,Esporte"
Straight Outta Compton,F. Gary Gray,4.2,"Biografia,Drama,Música"
Executive Decision,Stuart Baird,3.1,"Ação,Aventura,Suspense"
El fotógrafo de Mauthausen,Mar Targarona,3.8,"Biografia,Drama,Guerra,História"
Gold,Stephen Gaghan,3.5,"Biografia,Drama,Mistério,Policial"
The Great Gatsby,Baz Luhrmann,3.9,"Drama,Romance"
Bienvenue à Marly-Gomont,Julien Rambaldi,4.1,Comédia
The Red Sea Diving Resort,Gideon Raff,3.6,"Drama,História,Thriller"
Woodlawn,Andrew Erwin,3.5,"Drama,Esporte"
Patch Adams,Tom Shadyac,4.1,"Biografia,Comédia,Drama"
American Wrestler: The Wizard,Alex Ranarivelo,3.6,"Drama,Esporte"
Rudy,David Anspaugh,3.8,"Biografia,Drama,Esporte"
"Sérgio: One Man""s Fight To Save The World",Greg Barker,4.2,Documentário
Da 5 Bloods,Spike Lee,3.8,"Drama,Guerra"
Extraction,Sam Hargrave,3.5,"Ação,Thriller"
Sergio,Greg Barker,3.2,"Biografia,Drama,Romance"
Death Race,Paul W.S. Anderson,3.3,"Ação,Ficção Científica ,Thriller"
Jangsa-ri 9.15,Kyung-Taek Kwak,4.0,"Ação,Drama,Guerra,História"
La tierra y la sombra,César Augusto Acevedo,3.9,Drama
Midway,Roland Emmerich,3.3,"Ação,Drama,Guerra,História"
감기,Kim Sung-soo (I),3.6,"Ação,Drama,Ficção Científica ,Suspense"
Pohwa Sokeuro,John H. Lee,4.4,"Ação,Drama,Guerra,História"
Batismo de Sangue,Helvecio Ratton,4.0,"Drama,Nacional"
The Two Popes,Fernando Meirelles,4.1,"Biografia,Drama"
Dante's Peak,Roger Donaldson,2.9,"Ação,Aventura,Thriller"
Dangal,Nitesh Tiwari,4.2,"Ação,Biografia,Drama,Esporte"
Batalon,Dmitriy Meskhiev (II),4.0,"Ação,Drama,Guerra,História"
Arctic,Joe Penna,3.4,Drama
The Hurricane,Norman Jewison,4.0,"Biografia,Drama,Esporte"
1917,Sam Mendes,4.2,"Ação,Drama,Guerra"
Le chant du loup,Antonin Baudry,3.5,"Ação,Drama"
Beneath Hill 60,Jeremy Sims,3.7,"Drama,Guerra,História"
Otoko-tachi no Yamato,Junya Sato,3.8,Guerra
Signs,M. Night Shyamalan,3.5,"Drama,Ficção Científica ,Mistério"
October Sky,Joe Johnston (I),4.1,"Biografia,Drama,Família"
Knives Out,Rian Johnson,4.0,"Comédia,Drama,Policial,Suspense"
Yes Man,Peyton Reed,3.5,"Comédia,Romance"
Gagarin: Pervyy v kosmose,Pavel Parkhomenko,3.7,"Aventura,Biografia,Drama,História"
End of Watch,David Ayer,3.8,"Ação,Drama,Policial,Thriller"
Ford v Ferrari,James Mangold,3.9,"Ação,Biografia,Drama,Esporte"
They Shall Not Grow Old,Peter Jackson,4.3,"Documentário,Guerra,História"
The Irishman,Martin Scorsese,4.0,"Biografia,Drama,Policial,Thriller"
7 Cajas,Juan Carlos Maneglia,3.9,"Ação,Drama,Mistério,Suspense"
A Private War,Matthew Heineman,3.6,"Biografia,Drama,Guerra"
Uncut Gems,Benny Safdie,3.7,"Drama,Policial,Thriller"
Dolemite Is My Name,Craig Brewer,3.8,"Biografia,Comédia,Drama"
21 Grams,Alejandro G. Iñárritu,4.0,"Drama,Policial,Suspense"
The Verdict,Sidney Lumet,4.0,Drama
The Flying Scotsman,Douglas Mackinnon,3.6,"Drama,Esporte"
This Is England,Shane Meadows,4.1,"Drama,Policial"
Les Frères Sisters,Jacques Audiard,3.5,"Drama,Faroeste"
The Aeronauts,Tom Harper (III),3.5,"Aventura,Biografia,Drama"
A Vida Invisível,Karim Aïnouz,4.3,"Drama,Nacional"
Nebel im August,Kai Wessel,3.8,"Drama,História"
The People vs. Larry Flynt,Milos Forman,3.9,"Biografia,Drama"
Marriage Story,Noah Baumbach,4.0,Drama
Zombieland: Double Tap,Ruben Fleischer,3.3,"Ação,Comédia,Terror"
Jojo Rabbit,Taika Waititi,4.2,"Comédia,Drama,Guerra"
Joker,Todd Phillips (I),4.4,"Drama,Policial,Super-herói,Thriller"
Brokeback Mountain,Ang Lee,3.9,"Drama,Romance"
Stalingrad,Joseph Vilsmaier,4.0,"Drama,Guerra"
기생충,Bong Joon-ho,4.5,"Comédia,Drama,Thriller"
Ad Astra,James Gray,3.3,"Aventura,Drama,Ficção Científica ,Mistério,Thriller"
Once Upon a Time in... Hollywood,Quentin Tarantino,3.8,"Comédia,Drama,Policial,Suspense"
Remember,Atom Egoyan,4.1,"Drama,Thriller"
The Sixth Sense,M. Night Shyamalan,4.2,"Drama,Mistério,Suspense"
Bacurau,Juliano Dornelles,4.3,"Ação,Aventura,Drama,Faroeste,Mistério,Nacional,Suspense,Terror"
Ballon,Michael Herbig,3.9,"Drama,História,Thriller"
If Beale Street Could Talk,Barry Jenkins (III),3.7,"Drama,Policial,Romance"
Hotel Mumbai,Anthony Maras,4.0,"Drama,História,Thriller"
Ocean's Eleven,Steven Soderbergh,3.8,"Policial,Thriller"
Apollo 13,Ron Howard,3.6,"Aventura,Drama,História"
Salyut-7,Klim Shipenko (I),3.7,"Ação,Drama,História"
Five Feet Apart,Justin Baldoni,3.6,"Drama,Romance"
El Ángel,Luis Ortega,3.6,"Biografia,Drama,Policial"
Jumanji: Welcome to the Jungle,Jake Kasdan,3.4,"Ação,Aventura,Comédia,Fantasia"
Saving Leningrad,Aleksey Kozlov (IV),3.0,"Ação,Drama,Guerra"
Shazam!,David F. Sandberg,3.5,"Ação,Aventura,Comédia,Fantasia,Super-herói"
Avengers: Endgame,Anthony Russo (I),4.3,"Ação,Aventura,Fantasia,Ficção Científica ,Super-herói"
Rocketman,Dexter Fletcher,4.0,"Biografia,Drama,Musical"
Anthropoid,Sean Ellis (II),3.8,"Ação,Biografia,Drama,Guerra,História,Thriller"
John Wick: Chapter 3 - Parabellum,Chad Stahelski,3.9,"Ação,Policial,Thriller"
Happy Death Day 2U,Christopher Landon (II),3.0,"Comédia,Terror"
The Mule,Clint Eastwood,3.6,"Drama,Policial,Thriller"
Escape Room,Adam Robitel,3.1,"Ação,Aventura,Terror,Thriller"
Us,Jordan Peele,3.8,"Mistério,Suspense,Terror"
The Boy Who Harnessed the Wind,Chiwetel Ejiofor,4.3,Drama
Creed II,Steven Caple Jr.,3.8,"Drama,Esporte"
Gongdong Gyeongbi Guyeok JSA,Park Chan-wook (I),4.1,"Drama,Guerra,Thriller"
Green Book,Peter Farrelly,4.1,"Biografia,Comédia,Drama"
The Old Man and the Gun,David Lowery (IV),3.4,"Biografia,Comédia,Drama,Policial"
Rocky II,Sylvester Stallone,3.8,"Drama,Esporte"
The Graduate,Mike Nichols (I),4.1,"Comédia,Drama,Romance"
Flags of Our Fathers,Clint Eastwood,3.6,"Drama,Guerra,História"
Heartbreak Ridge,Clint Eastwood,3.7,"Ação,Comédia,Drama,Guerra"
Blindspotting,Carlos López Estrada,4.0,"Comédia,Drama"
Front of the Class,Peter Werner (III),4.3,"Biografia,Drama"
O Casamento de Romeu e Julieta,Bruno Barreto,2.7,"Comédia,Nacional,Romance"
Soshite Chichi ni Naru,Hirokazu Koreeda,4.3,"Drama,Família"
Assassination Nation,Sam Levinson,3.5,"Ação,Comédia,Drama,Mistério,Policial,Terror,Thriller"
[REC],Jaume Balagueró,3.6,"Suspense,Terror"
La Noche de 12 Años,Álvaro Brechner,4.3,Drama
Searching,Aneesh Chaganty,4.0,"Drama,Mistério,Thriller"
Campeones,Javier Fesser,3.8,"Comédia,Drama,Esporte"
Jersey Boys,Clint Eastwood,3.6,"Biografia,Musical"
Museo,Alonso Ruizpalacios,3.5,"Drama,Policial"
A Star Is Born,Bradley Cooper,4.0,"Drama,Música,Romance"
Mid90s,Jonah Hill,3.9,Drama
Den Skyldige,Gustav Möller (I),3.9,"Drama,Policial,Thriller"
Bird Box,Susanne Bier,3.4,"Drama,Ficção Científica ,Suspense,Terror"
A Estrada 47,Vicente Ferraz,3.3,"Drama,Guerra,História,Nacional"
Serbuan Maut 2,Gareth Evans,4.1,"Ação,Policial,Thriller"
First Man,Damien Chazelle,3.6,"Biografia,Drama,História"
Lebanon,Samuel Maoz,3.9,"Drama,Guerra"
Bohemian Rhapsody,Bryan Singer,4.1,"Biografia,Drama,Música"
BlacKkKlansman,Spike Lee,4.3,"Biografia,Drama,Policial"
Bomb City,Jameson Brooks,3.7,"Drama,Policial"
Space Cowboys,Clint Eastwood,3.3,"Ação,Aventura,Thriller"
Changeling,Clint Eastwood,4.0,"Biografia,Drama,Mistério,Thriller"
Ant-Man and the Wasp,Peyton Reed,3.6,"Ação,Aventura,Comédia,Ficção Científica ,Super-herói"
Adrift,Baltasar Kormákur,3.5,"Aventura,Biografia,Drama,Romance"
Central do Brasil,Walter Salles,4.1,"Drama,Nacional"
Mission: Impossible - Fallout,Christopher McQuarrie,3.9,"Ação,Aventura,Suspense"
Ghost Dog: The Way of the Samurai,Jim Jarmusch,3.9,"Drama,Policial,Suspense"
Casualties of War,Brian De Palma,3.8,"Aventura,Drama,Guerra"
The Exorcist,William Friedkin,4.1,Terror
First Reformed,Paul Schrader (I),3.6,"Drama,Mistério,Thriller"
Jin Ling Shi San Chai,Zhang Yimou,4.2,"Drama,Guerra,História"
Yi Jiu Si Er,Feng Xiao Gang,3.6,"Drama,Guerra,História"
The Last Samurai,Edward Zwick,3.9,"Ação,Drama,Guerra,História"
The Girl On The Train,Tate Taylor,3.6,"Drama,Mistério,Policial,Thriller"
Jusqu'à la Garde,Xavier Legrand,4.2,Drama
Tully,Jason Reitman,3.9,"Comédia,Drama"
A Prayer Before Dawn,Jean-Stéphane Sauvaire,3.6,"Ação,Biografia,Drama,Esporte,Policial"
Atonement,Joe Wright (IV),4.1,"Drama,Guerra,Mistério,Romance"
Scream,Wes Craven,3.6,"Mistério,Suspense,Terror"
Mission: Impossible - Rogue Nation,Christopher McQuarrie,3.7,"Ação,Aventura,Suspense"
Mission: Impossible - Ghost Protocol,Brad Bird,3.7,"Ação,Aventura,Suspense"
Mission: Impossible 3,J.J. Abrams,3.4,"Ação,Aventura,Suspense"
Mission: Impossible 2,John Woo (I),3.1,"Ação,Aventura,Suspense"
Mission: Impossible,Brian De Palma,3.5,"Ação,Aventura,Suspense"
Incredibles 2,Brad Bird,4.1,"Ação,Animação,Aventura,Comédia,Família,Ficção Científica ,Super-herói"
Hostiles,Scott Cooper (III),3.7,"Aventura,Drama,Faroeste"
Hereditary,Ari Aster,3.8,"Drama,Suspense,Terror"
Loving Pablo,Fernando León de Aranoa,3.3,"Biografia,Drama,Policial"
Gojijeon,Hun Jang (II),4.0,"Ação,Drama,Guerra,História"
Avengers: Infinity War,Anthony Russo (I),4.3,"Ação,Aventura,Fantasia,Ficção Científica ,Super-herói"
Bitva za Sevastopol,Sergey Mokritskiy,3.8,"Ação,Biografia,Drama,Guerra,Romance"
Ak-Nyeo,Byeong-gil Jeong,3.6,"Ação,Drama"
Sicilian Ghost Story,Antonio Piazza,,Drama
Gabriel e a Montanha,Fellipe Gamarano Barbosa,3.7,Drama
Aus Dem Nichts,Fatih Akin,3.9,"Drama,Thriller"
The Mummy,Stephen Sommers,3.5,"Ação,Aventura,Fantasia"
Mai Wei,Kang Je-Gyu,4.2,"Ação,Drama,Guerra,História"
Black Panther,Ryan Coogler,4.2,"Ação,Aventura,Ficção Científica ,Super-herói"
So-Won,Lee Joon-Ik,4.5,Drama
Cani Arrabbiati,Mario Bava,4.1,"Drama,Policial,Thriller"
Men in Black,Barry Sonnenfeld,3.5,"Ação,Aventura,Comédia,Super-herói"
A Quiet Place,John Krasinski,4.0,"Drama,Terror,Thriller"
The Way Back,Peter Weir,3.9,"Aventura,Drama,História"
Only the Brave,Joseph Kosinski,3.9,"Biografia,Drama"
Os Parças,Halder Gomes,2.1,"Comédia,Nacional"
No,Pablo Larraín,4.2,"Drama,História"
Guardians of the Galaxy Vol. 2,James Gunn (II),4.0,"Ação,Aventura,Comédia,Ficção Científica ,Super-herói"
Deadpool 2,David Leitch (I),3.8,"Ação,Aventura,Comédia,Ficção Científica ,Super-herói"
Lola Rennt,Tom Tykwer,3.8,"Ação,Policial,Suspense"
I Am Legend,Francis Lawrence (II),3.7,"Drama,Ficção Científica ,Terror,Thriller"
Kick-Ass,Matthew Vaughn,3.9,"Ação,Comédia,Policial,Super-herói"
Amen,Costa-Gavras,3.9,"Drama,Guerra"
Wonder,Stephen Chbosky,4.3,"Drama,Família"
The Count of Monte Cristo,Kevin Reynolds (I),4.1,"Ação,Aventura,Drama,Romance,Thriller"
The Bridges of Madison County,Clint Eastwood,4.2,"Drama,Romance"
"4 Luni, 3 Saptamâni Si 2 Zile",Cristian Mungiu,4.0,Drama
Cool Runnings,Jon Turteltaub,3.5,"Aventura,Comédia,Esporte,Família"
Napola,Dennis Gansel,4.1,"Drama,Esporte,Guerra,Suspense"
João,Mauro Lima,3.4,"Biografia,Drama,Música,Nacional"
The Reader,Stephen Daldry,4.1,"Drama,Romance"
Speed,Jan de Bont,3.4,"Ação,Thriller"
Million Dollar Baby,Clint Eastwood,4.2,"Drama,Esporte"
The Florida Project,Sean Baker (II),4.1,Drama
Podzemlje,Emir Kusturica,4.3,"Comédia,Drama,Guerra"
Into the White,Petter Næss,3.8,"Ação,Drama,Guerra"
The Foreigner,Martin Campbell (I),3.5,"Ação,Thriller"
Slava,Kristina Grozeva,3.9,Drama
Panic Room,David Fincher,3.4,"Policial,Suspense"
Borg vs. McEnroe,Janus Metz Pedersen,3.7,"Biografia,Drama,Esporte"
Lucky,John Carroll Lynch,4.1,Drama
120 Battements par Minute,Robin Campillo,4.0,Drama
Saw II,Darren Lynn Bousman,3.4,Terror
Tucker and Dale vs Evil,Eli Craig,3.7,"Comédia,Terror"
Saw,James Wan,3.7,"Mistério,Terror"
Coco,Lee Unkrich,4.5,"Animação,Aventura,Comédia,Família,Fantasia,Mistério,Música"
The Boss Baby,Tom McGrath,3.4,"Animação,Aventura,Comédia,Família,Fantasia"
Harry Potter and the Half-Blood Prince,David Yates,4.0,"Aventura,Família,Fantasia,Mistério"
Harry Potter and the Order of the Phoenix,David Yates,4.0,"Aventura,Família,Fantasia,Mistério"
Harry Potter and the Goblet of Fire,Mike Newell (I),4.1,"Aventura,Família,Fantasia,Mistério"
Harry Potter and the Deathly Hallows - Part 1,David Yates,4.2,"Aventura,Família,Fantasia"
Harry Potter and the Deathly Hallows - Part 2,David Yates,4.3,"Ação,Aventura,Fantasia"
Harry Potter and the Prisoner of Azkaban,Alfonso Cuarón,4.2,"Aventura,Família,Fantasia,Mistério"
Harry Potter and the Sorcerer's Stone,Chris Columbus,4.1,"Aventura,Família,Fantasia"
Kicking & Screaming,Jesse Dylan,2.8,"Comédia,Esporte,Família"
The Kite Runner,Marc Forster,3.7,Drama
Harry Potter and the Chamber of Secrets,Chris Columbus,4.1,"Aventura,Família,Fantasia,Mistério"
Lady Bird,Greta Gerwig,3.8,"Comédia,Drama"
The Usual Suspects,Bryan Singer,4.1,"Mistério,Policial,Suspense"
Juno,Jason Reitman,3.7,"Comédia,Drama,Romance"
"Three Billboards Outside Ebbing, Missouri",Martin McDonagh,4.2,"Comédia,Drama,Policial"
"I, Tonya",Craig Gillespie,4.1,"Biografia,Drama,Esporte"
Identity,James Mangold,3.8,"Mistério,Thriller"
Joyeux Noël,Christian Carion,4.2,"Drama,Guerra,História,Música"
Little Manhattan,Mark Levin (I),3.8,"Comédia,Família,Romance"
My Girl,Howard Zieff,3.9,"Drama,Família"
Home Alone,Chris Columbus,3.5,"Comédia,Família"
John Wick,Chad Stahelski,3.8,"Ação,Policial,Thriller"
John Wick: Chapter Two,Chad Stahelski,3.9,"Ação,Policial,Thriller"
The 33,Patricia Riggen,3.5,"Biografia,Drama,História"
Oldeuboi,Park Chan-wook (I),4.3,"Ação,Drama,Mistério,Thriller"
Salvador,Oliver Stone,3.6,"Biografia,Drama,Guerra,Thriller"
Bulhandang,Sung-hyun Byun,3.8,"Drama,Thriller"
Kkeutkkaji Ganda,Kim Sung Hoon,3.6,"Ação,Policial,Suspense"
3 Idiots,Rajkumar Hirani,4.3,"Comédia,Drama,Romance"
It,Andy Muschietti,3.9,"Drama,Terror,Thriller"
Bingo - O Rei das Manhãs,Daniel Rezende,4.1,"Biografia,Drama,Nacional"
Un Sac de Billes,Christian Duguay,4.1,"Biografia,Drama,Guerra,História"
Zwartboek,Paul Verhoeven,4.0,"Drama,Guerra,Suspense"
Indiana Jones and the Last Crusade,Steven Spielberg,4.0,"Ação,Aventura,Fantasia"
Hachigatsu no Kyoshikyoku,Akira Kurosawa,4.0,Drama
The Book of Henry,Colin Trevorrow,3.8,"Drama,Policial,Thriller"
Chalard Games Goeng,Nattawut Poonpiriya,4.0,"Comédia,Drama,Thriller"
Mother!,Darren Aronofsky,4.0,"Drama,Mistério,Terror"
Murder on the Orient Express,Kenneth Branagh,3.4,"Drama,Mistério,Policial"
Mudbound,Dee Rees,4.1,Drama
Sorcerer,William Friedkin,4.1,"Aventura,Drama,Thriller"
Good Time,Benny Safdie,3.8,"Drama,Policial,Thriller"
Raiders of the Lost Ark,Steven Spielberg,4.0,"Ação,Aventura,Fantasia"
Nelyubov,Andrei Zvyagintsev,3.8,Drama
Indiana Jones and the Temple of Doom,Steven Spielberg,3.9,"Ação,Aventura,Fantasia"
Kokuhaku,Tetsuya Nakashima,4.2,"Drama,Mistério,Suspense"
Vremya pervykh,Dmitry Kiselyov,3.8,"Aventura,Biografia,Drama,História"
An American Crime,Tommy O'Haver,4.0,"Biografia,Drama,Policial"
"En mai, fais ce qu'il te plaît",Christian Carion,3.8,"Drama,Guerra"
The Mountain Between Us,Hany Abu-Assad,3.2,"Drama,Romance"
Brawl in Cell Block 99,S. Craig Zahler,3.7,"Drama,Policial,Thriller"
Taeksi Woonjunsa,Hun Jang (II),4.3,"Drama,História"
Yu wo wakasuhodo no atsui ai,Ryota Nakano,4.2,"Comédia,Drama"
Salinui Chueok,Bong Joon-ho,4.1,"Drama,Mistério,Policial,Thriller"
American Made,Doug Liman,3.6,"Ação,Comédia,Drama,Policial,Thriller"
Wind River,Taylor Sheridan,3.8,"Drama,Mistério,Policial,Suspense"
A Dog's Purpose,Lasse Hallström,3.8,"Aventura,Comédia,Drama"
Happy Death Day,Christopher Landon (II),3.3,"Mistério,Suspense,Terror"
Better Watch Out,Chris Peckover,3.4,"Comédia,Terror,Thriller"
Baby Driver,Edgar Wright,4.0,"Ação,Drama,Música,Policial,Suspense"
Atomic Blonde,David Leitch (I),3.6,"Ação,Mistério,Thriller"
Storks,Doug Sweetland,3.6,"Animação,Aventura,Comédia,Família,Fantasia"
O Filme da Minha Vida,Selton Mello,3.6,"Drama,Nacional"
War Dogs,Todd Phillips (I),3.6,"Biografia,Comédia,Drama,Guerra,Policial"
Chugyeogja,Hong-jin Na,4.1,"Drama,Policial,Thriller"
Dunkirk,Christopher Nolan,3.8,"Ação,Drama,Guerra,História"
Fences,Denzel Washington,3.8,Drama
Cinderella Man,Ron Howard,4.0,"Biografia,Drama,Esporte"
Paterson,Jim Jarmusch,3.9,"Drama,Família"
The Devil's Advocate,Taylor Hackford,4.0,"Drama,Mistério,Thriller"
Hitchcock,Sacha Gervasi,3.7,"Biografia,Drama"
Demain Tout Commence,Hugo Gélin,4.0,"Comédia,Drama"
The Founder,John Lee Hancock,3.6,"Biografia,Drama,História"
The Hitman's Bodyguard,Patrick Hughes (III),3.4,"Ação,Comédia"
The Silence of the Lambs,Jonathan Demme,4.4,"Drama,Mistério,Suspense"
Red Dragon,Brett Ratner,4.0,"Policial,Thriller"
Hannibal Rising,Peter Webber (I),3.6,"Drama,Policial,Thriller"
The Lost City of Z,James Gray,3.4,"Aventura,Biografia,Drama,História"
One Day,Lone Scherfig,3.9,"Drama,Romance"
Lion,Garth Davis,4.3,"Biografia,Drama"
Split,M. Night Shyamalan,3.9,"Super-herói,Terror,Thriller"
"I, Daniel Blake",Ken Loach,4.3,Drama
Manchester by the Sea,Kenneth Lonergan,3.8,Drama
Akmareul Boatda,Kim Jee Woon,4.1,"Ação,Drama,Policial,Suspense"
El Faro de Las Orcas,Gerardo Olivares,3.7,Drama
